Composition,Eg_eV
CsPb0.6Sn0.4I3,1.38
(FAPbI3)0.7(CsSnI3)0.3,1.30
FA0.75Cs0.25Sn0.5Pb0.5I3,1.20
MAPb0.5Sn0.5I3,1.17
MASnI3,1.30
CsSnI3 (black γ-phase),1.30
FAPb0.5Sn0.5I3,1.28
CsSnI3 (γ-phase),1.30
CsSnCl3/Cs2O nanocomposite,1.37
CsSnI2Br,1.37
CsSn0.6Pb0.4I3,1.26
CsSn0.4Pb0.6I3,1.30
CsSn0.5Pb0.5I3,1.25
CsSn0.3Pb0.7I3,1.33
CsSn0.9Pb0.1I3 QDs (~4 nm),1.18
FA0.75Cs0.25Sn0.5Pb0.5I3,1.20
MA0.7FA0.3Pb0.5Sn0.5I3,1.22
(FASnI3)0.6(MAPbI3)0.4,1.25
MA0.3FA0.7Pb0.5Sn0.5I3,1.27
GABr-modified Sn-Pb perovskite,1.35
Mixed Sn-Pb (piperazine-treated),1.265
Mixed Sn-Pb (CPGCl-balanced),1.26
“NBG” Sn-Pb survey,1.25
MASnI3 (solution film),1.25
CsSnI2Cl,1.12
CsSnI2Br,1.37
(en)-FA0.5MA0.5Sn0.5Pb0.5I3,1.325
