x_Br,z_Ge,composition,Eg_eV,Ehull_proxy_eV_atom,Eox_proxy_eV_per_Sn,tolerance_factor,S_gap_single,S_hull,S_ox,S_strain,Score_single,Score_tandem,Rank_single,Rank_tandem,P_top1_single,P_top5_single,P_top10_single,P_top20_single,mean_rank_single,P_top1_tandem,P_top5_tandem,P_top10_tandem,P_top20_tandem,mean_rank_tandem,P_top1_descriptor_stress,P_top10_descriptor_stress,mean_rank_descriptor_stress
0.0,0.0,CsSnI3,1.31,0.0118,-1.374,0.8535490139766609,0.9801986733067553,0.6748037755010351,0.2532444629653909,0.9907403444023569,0.6382603342134328,0.27554370296730046,58,231,0.0,0.0126,0.0433,0.1813,80.6479,0.0,0.0,0.0,0.0,229.0409,0.0,0.0,60.7918
0.05,0.0,CsSn(I0.95Br0.05)3,1.326825,0.011774999999999999,-1.3767500000000001,0.8540707796516851,0.9961500827851313,0.6753663463525846,0.2518554417289706,0.9908397973218795,0.6401101931612362,0.2955802395857162,56,230,0.0,0.0123,0.0437,0.1946,78.562,0.0,0.0,0.0,0.0,227.5617,0.0,0.0,59.2598
0.1,0.0,CsSn(I0.90Br0.10)3,1.3443,0.01175,-1.3795000000000002,0.8545962766664591,0.9995891955143901,0.6759293862085684,0.250474039138868,0.9909394262095388,0.6399310412405083,0.31689181007565004,57,228,0.0,0.006,0.0384,0.1988,77.6058,0.0,0.0,0.0,0.0,225.4396,0.0,0.0,59.1886
0.15,0.0,CsSn(I0.85Br0.15)3,1.362425,0.011725,-1.3822500000000002,0.8551255451909084,0.9888870847597918,0.6764928954599865,0.24910021340754931,0.9910392270108813,0.6374831681964823,0.3394164684455451,60,225,0.0,0.0006,0.0296,0.1953,77.8667,0.0,0.0,0.0,0.0,222.6985,0.0,0.0,60.8132
0.2,0.0,CsSn(I0.80Br0.20)3,1.3812000000000002,0.0117,-1.3850000000000002,0.8556586259736373,0.9629816822724206,0.6770568744981647,0.24773392297668137,0.9911391955255393,0.6325441262855879,0.3630534189379516,62,222,0.0,0.0,0.0141,0.1677,79.5164,0.0,0.0,0.0,0.0,219.3508,0.0,0.0,63.6682
0.25,0.0,CsSn(I0.75Br0.25)3,1.400625,0.011675,-1.38775,0.8561955603523856,0.9215711007528508,0.6776213237147551,0.24637512651587462,0.9912393274029963,0.6249176976376143,0.3876566236850427,66,218,0.0,0.0,0.0018,0.1293,82.5218,0.0,0.0,0.0,0.0,215.3496,0.0,0.0,67.3858
0.3,0.0,CsSn(I0.70Br0.30)3,1.4206999999999999,0.01165,-1.3905,0.8567363902647166,0.865262802737516,0.6781862435017366,0.2450237829214323,0.9913396181382259,0.6144434633270235,0.41302863323455924,70,213,0.0,0.0,0.0,0.0888,86.4901,0.0,0.0,0.0,0.0,210.7361,0.0,0.0,71.8866
0.35,0.0,CsSn(I0.65Br0.35)3,1.4414250000000002,0.011625,-1.39325,0.8572811582589331,0.7956461870716456,0.6787516342514144,0.24367985131510767,0.991440063067199,0.6010065980573761,0.4389150616586262,76,206,0.0,0.0,0.0,0.0316,91.0761,0.0,0.0,0.0,0.0,205.4787,0.0,0.0,76.9666
0.4,0.0,CsSn(I0.60Br0.40)3,1.4628000000000003,0.0116,-1.396,0.8578299075052391,0.7152611519047091,0.679317496356421,0.2423432910428673,0.9915406573622567,0.5845474113179493,0.46500022615355036,81,199,0.0,0.0,0.0,0.0011,96.1808,0.0,0.0,0.0,0.0,199.6343,0.0,0.0,82.557
0.45,0.0,CsSn(I0.55Br0.45)3,1.484825,0.011575,-1.3987500000000002,0.8583826818071413,0.627447595255939,0.6798838302097162,0.24101406167366074,0.9916413960273425,0.5650700643462445,0.49090456052468795,87,193,0.0,0.0,0.0,0.0,101.7912,0.0,0.0,0.0,0.0,193.2646,0.0,0.0,88.7602
0.5,0.0,CsSn(I0.50Br0.50)3,1.5075,0.01155,-1.4015,0.8589395256131067,0.5360798140311996,0.6804506362045877,0.23969212299819861,0.9917422738930912,0.5426498242007827,0.5161844799799242,94,186,0.0,0.0,0.0,0.0,107.8147,0.0,0.0,0.0,0.0,186.4741,0.0,0.0,95.6798
0.55,0.0,CsSn(I0.45Br0.55)3,1.530825,0.011525,-1.40425,0.8595004840284758,0.44521230803214645,0.6810179147346503,0.2383774350277349,0.991843285611768,0.5174381847495335,0.5403354056117722,102,178,0.0,0.0,0.0,0.0,114.3137,0.0,0.0,0.0,0.0,179.4072,0.0,0.0,103.1578
0.6,0.0,CsSn(I0.40Br0.60)3,1.5548000000000002,0.0115,-1.407,0.8600656028276424,0.35868453837027003,0.6815856661938479,0.23706995799285827,0.9919444256520548,0.4896652021710219,0.5627986332192808,108,171,0.0,0.0,0.0,0.0,121.2297,0.0,0.0,0.0,0.0,172.2323,0.0,0.0,111.0562
0.65,0.0,CsSn(I0.35Br0.65)3,1.579425,0.011474999999999999,-1.40975,0.860634928466505,0.2797457808146816,0.6821538909764522,0.23576965234228878,0.9920456882936758,0.4596384703748329,0.5829726347137248,117,162,0.0,0.0,0.0,0.0,128.5496,0.0,0.0,0.0,0.0,165.2386,0.0,0.0,119.3632
0.7,0.0,CsSn(I0.30Br0.70)3,1.6046999999999998,0.011449999999999998,-1.4125,0.8612085080951974,0.21076232077941076,0.6827225894770637,0.23447647874168132,0.9921470676218616,0.4277383062143998,0.6002291953353321,125,153,0.0,0.0,0.0,0.0,136.1888,0.0,0.0,0.0,0.0001,158.7653,0.0,0.0,127.9802
0.75,0.0,CsSn(I0.25Br0.75)3,1.6306250000000002,0.011425,-1.41525,0.8617863895711046,0.1530557377363579,0.683291762090612,0.23319039807243597,0.9922485575216409,0.3944089259267789,0.6139345056483927,134,144,0.0,0.0,0.0,0.0,144.1324,0.0,0.0,0.0,0.0,153.4741,0.0,0.0,136.9226
0.8,0.0,CsSn(I0.20Br0.80)3,1.6572000000000002,0.011399999999999999,-1.418,0.8623686214721759,0.10689507260035158,0.6838614092123559,0.2319113714305142,0.9923501516719592,0.3601456653082991,0.6234749422551916,142,137,0.0,0.0,0.0,0.0,152.3475,0.0,0.0,0.0,0.0,149.9299,0.0,0.0,146.095
0.85,0.0,CsSn(I0.15Br0.85)3,1.684425,0.011375,-1.42075,0.8629552531105346,0.07163362584479525,0.6844315312378836,0.2306393601252627,0.9924518435396147,0.32547860999436506,0.6282867969026783,152,134,0.0,0.0,0.0,0.0,160.7737,0.0,0.0,0.0,0.0001,148.4154,0.0,0.0,155.4898
0.9,0.0,CsSn(I0.10Br0.90)3,1.7123,0.011349999999999999,-1.4235,0.8635463345464032,0.045951811852511945,0.6850021285631134,0.22937432567824242,0.9925536263730084,0.2909533329905701,0.6278886780988316,161,136,0.0,0.0,0.0,0.0,169.4096,0.0,0.0,0.0,0.0,149.153,0.0,0.0,165.0588
0.95,0.0,CsSn(I0.05Br0.95)3,1.740825,0.011324999999999998,-1.42625,0.8641419166023416,0.02814917175963881,0.6855732015842932,0.22811622982206495,0.9926554931956998,0.25710975077530196,0.6219147587611152,171,140,0.0,0.0,0.0,0.0,178.2187,0.0,0.0,0.0,0.0,152.2673,0.0,0.0,174.7934
1.0,0.0,CsSn(I0.00Br1.00)3,1.77,0.0113,-1.429,0.8647420508778161,0.016426015518885576,0.6861447506980017,0.22686503449923465,0.9927574367997638,0.22446036879549205,0.6101465417060016,180,149,0.0,0.0,0.0,0.0,187.1503,0.0,0.0,0.0,0.0002,157.7182,0.0,0.0,184.6758
0.0,0.05,CsSn0.95Ge0.05I3,1.329,0.0112111,-1.30533,0.8592689999228931,0.9973147229348499,0.6881810419239556,0.29052664085299496,0.9918016766910015,0.6668627114587611,0.31062431599889323,43,229,0.0003,0.0336,0.1027,0.3256,62.4411,0.0,0.0,0.0,0.0,225.4124,0.0,0.005,45.2716
0.05,0.05,CsSn0.95Ge0.05(I0.95Br0.05)3,1.3466999999999998,0.01118749,-1.3079415000000003,0.8598147917701017,0.9990029418375815,0.6887228535788709,0.2890131760616963,0.9918996145940753,0.6664217402961009,0.3331932706012721,44,226,0.0,0.0271,0.1012,0.3439,61.4629,0.0,0.0,0.0,0.0,222.6871,0.0,0.001,45.312
0.1,0.05,CsSn0.95Ge0.05(I0.90Br0.10)3,1.3650499999999999,0.01116388,-1.3105530000000003,0.8603645131221349,0.9861522741953103,0.6892650918073933,0.2875075954894415,0.9919976699826533,0.6635483289433889,0.35702353019638194,45,223,0.0,0.0117,0.0845,0.3467,61.8049,0.0,0.0,0.0,0.0,219.2345,0.0,0.0,46.9964
