x_Br,z_Ge,composition,P_top1_descriptor_stress,P_top10_descriptor_stress,mean_rank_descriptor_stress
0.0,0.0,CsSnI3,0.0,0.0,60.7918
0.05,0.0,CsSn(I0.95Br0.05)3,0.0,0.0,59.2598
0.1,0.0,CsSn(I0.90Br0.10)3,0.0,0.0,59.1886
0.15,0.0,CsSn(I0.85Br0.15)3,0.0,0.0,60.8132
0.2,0.0,CsSn(I0.80Br0.20)3,0.0,0.0,63.6682
0.25,0.0,CsSn(I0.75Br0.25)3,0.0,0.0,67.3858
0.3,0.0,CsSn(I0.70Br0.30)3,0.0,0.0,71.8866
0.35,0.0,CsSn(I0.65Br0.35)3,0.0,0.0,76.9666
0.4,0.0,CsSn(I0.60Br0.40)3,0.0,0.0,82.557
0.45,0.0,CsSn(I0.55Br0.45)3,0.0,0.0,88.7602
0.5,0.0,CsSn(I0.50Br0.50)3,0.0,0.0,95.6798
0.55,0.0,CsSn(I0.45Br0.55)3,0.0,0.0,103.1578
0.6,0.0,CsSn(I0.40Br0.60)3,0.0,0.0,111.0562
0.65,0.0,CsSn(I0.35Br0.65)3,0.0,0.0,119.3632
0.7,0.0,CsSn(I0.30Br0.70)3,0.0,0.0,127.9802
0.75,0.0,CsSn(I0.25Br0.75)3,0.0,0.0,136.9226
0.8,0.0,CsSn(I0.20Br0.80)3,0.0,0.0,146.095
0.85,0.0,CsSn(I0.15Br0.85)3,0.0,0.0,155.4898
0.9,0.0,CsSn(I0.10Br0.90)3,0.0,0.0,165.0588
0.95,0.0,CsSn(I0.05Br0.95)3,0.0,0.0,174.7934
1.0,0.0,CsSn(I0.00Br1.00)3,0.0,0.0,184.6758
0.0,0.05,CsSn0.95Ge0.05I3,0.0,0.005,45.2716
0.05,0.05,CsSn0.95Ge0.05(I0.95Br0.05)3,0.0,0.001,45.312
0.1,0.05,CsSn0.95Ge0.05(I0.90Br0.10)3,0.0,0.0,46.9964
0.15,0.05,CsSn0.95Ge0.05(I0.85Br0.15)3,0.0,0.0,49.8234
0.2,0.05,CsSn0.95Ge0.05(I0.80Br0.20)3,0.0,0.0,53.841
0.25,0.05,CsSn0.95Ge0.05(I0.75Br0.25)3,0.0,0.0,59.668
0.3,0.05,CsSn0.95Ge0.05(I0.70Br0.30)3,0.0,0.0,66.751
0.35,0.05,CsSn0.95Ge0.05(I0.65Br0.35)3,0.0,0.0,74.1276
0.4,0.05,CsSn0.95Ge0.05(I0.60Br0.40)3,0.0,0.0,81.728
0.45,0.05,CsSn0.95Ge0.05(I0.55Br0.45)3,0.0,0.0,89.728
0.5,0.05,CsSn0.95Ge0.05(I0.50Br0.50)3,0.0,0.0,97.9562
0.55,0.05,CsSn0.95Ge0.05(I0.45Br0.55)3,0.0,0.0,106.4402
0.6,0.05,CsSn0.95Ge0.05(I0.40Br0.60)3,0.0,0.0,115.142
0.65,0.05,CsSn0.95Ge0.05(I0.35Br0.65)3,0.0,0.0,124.1568
0.7,0.05,CsSn0.95Ge0.05(I0.30Br0.70)3,0.0,0.0,133.4496
0.75,0.05,CsSn0.95Ge0.05(I0.25Br0.75)3,0.0,0.0,142.974
0.8,0.05,CsSn0.95Ge0.05(I0.20Br0.80)3,0.0,0.0,152.6636
0.85,0.05,CsSn0.95Ge0.05(I0.15Br0.85)3,0.0,0.0,162.5004
0.9,0.05,CsSn0.95Ge0.05(I0.10Br0.90)3,0.0,0.0,172.4868
0.95,0.05,CsSn0.95Ge0.05(I0.05Br0.95)3,0.0,0.0,182.595
1.0,0.05,CsSn0.95Ge0.05(I0.00Br1.00)3,0.0,0.0,192.5774
0.0,0.1,CsSn0.90Ge0.10I3,0.0,0.1644,32.9556
0.05,0.1,CsSn0.90Ge0.10(I0.95Br0.05)3,0.0,0.0732,34.5514
0.1,0.1,CsSn0.90Ge0.10(I0.90Br0.10)3,0.0,0.0164,37.1748
0.15,0.1,CsSn0.90Ge0.10(I0.85Br0.15)3,0.0,0.0,40.7882
0.2,0.1,CsSn0.90Ge0.10(I0.80Br0.20)3,0.0,0.0,46.3648
0.25,0.1,CsSn0.90Ge0.10(I0.75Br0.25)3,0.0,0.0,54.159
0.3,0.1,CsSn0.90Ge0.10(I0.70Br0.30)3,0.0,0.0,63.3482
0.35,0.1,CsSn0.90Ge0.10(I0.65Br0.35)3,0.0,0.0,72.9342
0.4,0.1,CsSn0.90Ge0.10(I0.60Br0.40)3,0.0,0.0,82.564
0.45,0.1,CsSn0.90Ge0.10(I0.55Br0.45)3,0.0,0.0,91.909
0.5,0.1,CsSn0.90Ge0.10(I0.50Br0.50)3,0.0,0.0,101.122
0.55,0.1,CsSn0.90Ge0.10(I0.45Br0.55)3,0.0,0.0,110.4898
0.6,0.1,CsSn0.90Ge0.10(I0.40Br0.60)3,0.0,0.0,120.0594
0.65,0.1,CsSn0.90Ge0.10(I0.35Br0.65)3,0.0,0.0,129.7902
0.7,0.1,CsSn0.90Ge0.10(I0.30Br0.70)3,0.0,0.0,139.689
0.75,0.1,CsSn0.90Ge0.10(I0.25Br0.75)3,0.0,0.0,149.714
0.8,0.1,CsSn0.90Ge0.10(I0.20Br0.80)3,0.0,0.0,159.8392
0.85,0.1,CsSn0.90Ge0.10(I0.15Br0.85)3,0.0,0.0,170.062
0.9,0.1,CsSn0.90Ge0.10(I0.10Br0.90)3,0.0,0.0,180.3714
0.95,0.1,CsSn0.90Ge0.10(I0.05Br0.95)3,0.0,0.0,190.5762
1.0,0.1,CsSn0.90Ge0.10(I0.00Br1.00)3,0.0,0.0,199.8362
0.0,0.15,CsSn0.85Ge0.15I3,0.0,0.5432,23.5172
0.05,0.15,CsSn0.85Ge0.15(I0.95Br0.05)3,0.0,0.433,25.9876
0.1,0.15,CsSn0.85Ge0.15(I0.90Br0.10)3,0.0,0.227,29.1974
0.15,0.15,CsSn0.85Ge0.15(I0.85Br0.15)3,0.0,0.0022,34.0948
0.2,0.15,CsSn0.85Ge0.15(I0.80Br0.20)3,0.0,0.0,41.277
0.25,0.15,CsSn0.85Ge0.15(I0.75Br0.25)3,0.0,0.0,50.7084
0.3,0.15,CsSn0.85Ge0.15(I0.70Br0.30)3,0.0,0.0,61.9042
0.35,0.15,CsSn0.85Ge0.15(I0.65Br0.35)3,0.0,0.0,73.66
0.4,0.15,CsSn0.85Ge0.15(I0.60Br0.40)3,0.0,0.0,84.82
0.45,0.15,CsSn0.85Ge0.15(I0.55Br0.45)3,0.0,0.0,95.1834
0.5,0.15,CsSn0.85Ge0.15(I0.50Br0.50)3,0.0,0.0,105.3282
0.55,0.15,CsSn0.85Ge0.15(I0.45Br0.55)3,0.0,0.0,115.4768
0.6,0.15,CsSn0.85Ge0.15(I0.40Br0.60)3,0.0,0.0,125.7302
0.65,0.15,CsSn0.85Ge0.15(I0.35Br0.65)3,0.0,0.0,136.017
0.7,0.15,CsSn0.85Ge0.15(I0.30Br0.70)3,0.0,0.0,146.3986
0.75,0.15,CsSn0.85Ge0.15(I0.25Br0.75)3,0.0,0.0,156.8574
0.8,0.15,CsSn0.85Ge0.15(I0.20Br0.80)3,0.0,0.0,167.3328
0.85,0.15,CsSn0.85Ge0.15(I0.15Br0.85)3,0.0,0.0,177.86
0.9,0.15,CsSn0.85Ge0.15(I0.10Br0.90)3,0.0,0.0,188.2844
0.95,0.15,CsSn0.85Ge0.15(I0.05Br0.95)3,0.0,0.0,197.9592
1.0,0.15,CsSn0.85Ge0.15(I0.00Br1.00)3,0.0,0.0,206.4056
0.0,0.2,CsSn0.80Ge0.20I3,0.0,0.9702,16.3228
0.05,0.2,CsSn0.80Ge0.20(I0.95Br0.05)3,0.0,0.8468,19.2046
0.1,0.2,CsSn0.80Ge0.20(I0.90Br0.10)3,0.0,0.611,23.3464
0.15,0.2,CsSn0.80Ge0.20(I0.85Br0.15)3,0.0,0.0356,29.527
0.2,0.2,CsSn0.80Ge0.20(I0.80Br0.20)3,0.0,0.0,38.034
