x_Br,z_Ge,Eg_eV,Ehull_proxy_eV_atom,Eox_proxy_eV_Sn,t,SJ_score,Tandem_score,pareto_single,pareto_tandem
0.0,0.0,1.31,0.0118,-1.374,0.8535490139766609,0.6382715038670157,0.27554852502429533,False,False
0.0,0.05,1.329,0.01121111,-1.3053335000000001,0.8592689999228931,0.6668731590564133,0.31062918248463134,False,False
0.0,0.1,1.348,0.01062222,-1.2366670000000002,0.8650661670887898,0.6939582390615289,0.3487696879457934,True,False
0.0,0.15,1.367,0.01003333,-1.1680005000000002,0.8709420882237324,0.7192427391097513,0.39002034611759245,True,False
0.0,0.2,1.3860000000000001,0.00944444,-1.099334,0.8768983791006425,0.7424537617611332,0.4343977525920889,True,False
0.0,0.25,1.405,0.00885555,-1.0306675,0.8829366999972804,0.7633343846943739,0.4818805131106507,True,False
0.0,0.3,1.424,0.00826666,-0.9620010000000001,0.889058757239172,0.7816483717138784,0.532405270978043,True,False
0.0,0.35,1.443,0.00767777,-0.8933345000000001,0.8952663048071726,0.7971846068070036,0.5858631788235037,True,False
0.0,0.4,1.462,0.00708888,-0.8246680000000001,0.901561146012848,0.8097611352710222,0.6420969530175761,True,False
0.0,0.45,1.481,0.00649999,-0.7560015000000001,0.9079451352450397,0.8192287040020682,0.7008986467247084,True,False
0.0,0.5,1.5,0.0059111,-0.6873350000000001,0.9144201797911612,0.8254737048027462,0.7620082704157514,True,True
0.05,0.0,1.326825,0.011774999999999999,-1.3767500000000001,0.8540707796516851,0.640121395187634,0.29558541228517,False,False
0.05,0.05,1.3466999999999998,0.011187498899999999,-1.3079446100000003,0.8598147917701017,0.6664323170484016,0.3331985586981008,True,False
0.05,0.1,1.3665749999999999,0.010599997799999998,-1.2391392200000002,0.8656365891865409,0.6907770022459924,0.3739481136518331,True,False
0.05,0.15,1.3864499999999997,0.0100124967,-1.1703338300000004,0.871537762722883,0.7128654053232865,0.41783751224190746,False,False
0.05,0.2,1.406325,0.0094249956,-1.10152844,0.8775199468782414,0.7324277266384206,0.4648267099325558,False,False
0.05,0.25,1.4262,0.0088374945,-1.0327230500000002,0.8835848213383122,0.7492198763155061,0.5148278125889849,False,False
0.05,0.3,1.4460749999999998,0.008249993399999999,-0.9639176600000001,0.8897341125477499,0.7630285303200148,0.567701312922613,False,False
0.05,0.35,1.4659499999999999,0.0076624923,-0.8951122700000002,0.8959695953486607,0.7736756326102692,0.6232531063062358,False,False
0.05,0.4,1.4858249999999997,0.007074991199999999,-0.8263068800000001,0.9022930946884802,0.7810222107582555,0.6812324528125241,False,False
0.05,0.45,1.5056999999999998,0.006487490099999999,-0.7575014900000001,0.9087064874006872,0.7849713908811423,0.7413310394132256,False,False
0.05,0.5,1.5255749999999997,0.005899988999999999,-0.6886961000000001,0.9152117040620028,0.7854705205528152,0.8031832763631495,True,True
0.1,0.0,1.3443,0.01175,-1.3795000000000002,0.8545962766664591,0.6399422401317201,0.31689735573085076,True,False
0.1,0.05,1.3650499999999999,0.0111638878,-1.3105557200000002,0.8603645131221349,0.6635589955685095,0.3570292693957585,False,False
0.1,0.1,1.3858,0.0105777756,-1.2416114400000002,0.8662111460261662,0.6847543976640736,0.40031839997839,False,False
0.1,0.15,1.40655,0.0099916634,-1.1726671600000003,0.8721377845499884,0.7032445462526414,0.44670780120109976,False,False
0.1,0.2,1.4273,0.0094055512,-1.10372288,0.8781460822084006,0.7187765275120275,0.4960865955423768,False,False
0.1,0.25,1.44805,0.008819439,-1.0347786,0.8842377383976066,0.7311341592750087,0.5482859576249203,False,False
0.1,0.3,1.4688,0.008233326800000001,-0.9658343200000001,0.8904144999977139,0.7401429911441121,0.6030761046564818,False,False
0.1,0.35,1.4895500000000002,0.0076472146000000005,-0.8968900400000002,0.8966781630428753,0.7456743979671491,0.6601644964916896,False,False
0.1,0.4,1.5103,0.0070611024,-0.8279457600000001,0.903030574462417,0.7476486325465816,0.7191954272464858,False,False
0.1,0.45,1.5310500000000002,0.0064749902,-0.7590014800000001,0.9094736338965075,0.746036736407869,0.7797511602828578,False,False
0.1,0.5,1.5518,0.005888878,-0.6900572000000001,0.9160092955901107,0.7408612447047763,0.8413547191704388,True,True
0.15,0.0,1.362425,0.011725,-1.3822500000000002,0.8551255451909084,0.637494324249541,0.33942240828571635,False,False
0.15,0.05,1.38405,0.0111402767,-1.3131668300000003,0.8609182065688389,0.658022956784099,0.38200733861128555,False,False
0.15,0.1,1.405675,0.010555553399999999,-1.2440836600000003,0.8667898827276138,0.6756834989639934,0.4277011780469249,False,False
0.15,0.15,1.4273,0.0099708301,-1.1750004900000004,0.8727422014705931,0.6902125483824773,0.47637225232283564,False,False
0.15,0.2,1.448925,0.0093861068,-1.10591732,0.8787768356233554,0.7013896799226653,0.5278243849169899,False,False
0.15,0.25,1.47055,0.0088013835,-1.0368341500000002,0.8848955046010826,0.7090430037357842,0.5817938519784261,False,False
0.15,0.3,1.492175,0.0082166602,-0.9677509800000001,0.8910999760418816,0.7130535595619439,0.6379478474489996,False,False
0.15,0.35,1.5138,0.0076319369,-0.8986678100000003,0.8973920675093043,0.7133583905140289,0.695884672114568,False,False
0.15,0.4,1.5354249999999998,0.007047213599999999,-0.8295846400000002,0.9037736482675088,0.7099521854123406,0.7551358171064629,False,False
0.15,0.45,1.55705,0.006462490299999999,-0.7605014700000002,0.9102466411327068,0.702887429857631,0.8151700573204982,False,False
0.15,0.5,1.5786749999999998,0.005877766999999999,-0.6914183000000003,0.9168130244047444,0.69227306012335,0.8753996048292065,True,True
0.2,0.0,1.3812000000000002,0.0117,-1.385,0.8556586259736373,0.6325551959046568,0.363059772428376,False,False
0.2,0.05,1.4037,0.0111166656,-1.31577794,0.86147591531777,0.6496235741000917,0.4079697699371047,False,False
0.2,0.1,1.4262000000000001,0.010533331200000001,-1.24655588,0.8673728450697169,0.6634012727765749,0.4558574017175261,False,False
0.2,0.15,1.4487,0.009949996800000001,-1.17733382,0.8733510619525684,0.6736614882772279,0.5065017312935165,False,False
0.2,0.2,1.4712000000000003,0.009366662400000001,-1.10811176,0.8794122584035038,0.6802330768017878,0.559607418472004,False,False
0.2,0.25,1.4937000000000002,0.008783328,-1.0388897,0.885558174171194,0.6830053000733036,0.6148034477259529,False,False
0.2,0.3,1.5162,0.0081999936,-0.96966764,0.8917905979806567,0.6819309273296543,0.6716439562720017,False,False
0.2,0.35,1.5387000000000002,0.007616659200000001,-0.9004455800000001,0.8981113692689114,0.677027572298952,0.7296113530291342,False,False
0.2,0.4,1.5612,0.0070333248,-0.83122352,0.9045223799949744,0.6683772123320558,0.7881218447954814,False,False
