application,x_Br,z_Ge,top10_fraction,top1_fraction,mean_rank
single-junction,0.0,0.0,0.0107,0.0,60.8925
single-junction,0.05,0.0,0.0068,0.0,59.767
single-junction,0.1,0.0,0.0045,0.0,59.413
single-junction,0.15,0.0,0.0033,0.0,60.1951
single-junction,0.2,0.0,0.0023,0.0,62.3638
single-junction,0.25,0.0,0.0016,0.0,65.91
single-junction,0.3,0.0,0.0007,0.0,70.498
single-junction,0.35,0.0,0.0002,0.0,75.8605
single-junction,0.4,0.0,0.0,0.0,81.8478
single-junction,0.45,0.0,0.0,0.0,88.3961
single-junction,0.5,0.0,0.0,0.0,95.4164
single-junction,0.55,0.0,0.0,0.0,102.8908
single-junction,0.6,0.0,0.0,0.0,110.7981
single-junction,0.65,0.0,0.0,0.0,119.0777
single-junction,0.7,0.0,0.0,0.0,127.717
single-junction,0.75,0.0,0.0,0.0,136.6576
single-junction,0.8,0.0,0.0,0.0,145.8598
single-junction,0.85,0.0,0.0,0.0,155.2674
single-junction,0.9,0.0,0.0,0.0,164.8476
single-junction,0.95,0.0,0.0,0.0,174.6123
single-junction,1.0,0.0,0.0,0.0,184.4932
single-junction,0.0,0.05,0.0424,0.0,47.2492
single-junction,0.05,0.05,0.0122,0.0,46.761
single-junction,0.1,0.05,0.0022,0.0,47.5981
single-junction,0.15,0.05,0.0003,0.0,49.9547
single-junction,0.2,0.05,0.0001,0.0,53.978
single-junction,0.25,0.05,0.0,0.0,59.4476
single-junction,0.3,0.05,0.0,0.0,66.0275
single-junction,0.35,0.05,0.0,0.0,73.4077
single-junction,0.4,0.05,0.0,0.0,81.2471
single-junction,0.45,0.05,0.0,0.0,89.3571
single-junction,0.5,0.05,0.0,0.0,97.6629
single-junction,0.55,0.05,0.0,0.0,106.2178
single-junction,0.6,0.05,0.0,0.0,115.025
single-junction,0.65,0.05,0.0,0.0,124.1107
single-junction,0.7,0.05,0.0,0.0,133.4342
single-junction,0.75,0.05,0.0,0.0,142.9352
single-junction,0.8,0.05,0.0,0.0,152.603
single-junction,0.85,0.05,0.0,0.0,162.4408
single-junction,0.9,0.05,0.0,0.0,172.4141
single-junction,0.95,0.05,0.0,0.0,182.4981
single-junction,1.0,0.05,0.0,0.0,192.4582
single-junction,0.0,0.1,0.2239,0.0,35.3073
single-junction,0.05,0.1,0.0943,0.0,35.7728
single-junction,0.1,0.1,0.0074,0.0,37.8098
single-junction,0.15,0.1,0.0009,0.0,41.6106
single-junction,0.2,0.1,0.0003,0.0,47.2304
single-junction,0.25,0.1,0.0001,0.0,54.4884
single-junction,0.3,0.1,0.0,0.0,62.9477
single-junction,0.35,0.1,0.0,0.0,72.178
single-junction,0.4,0.1,0.0,0.0,81.7002
single-junction,0.45,0.1,0.0,0.0,91.2902
single-junction,0.5,0.1,0.0,0.0,100.8264
single-junction,0.55,0.1,0.0,0.0,110.386
single-junction,0.6,0.1,0.0,0.0,120.0202
single-junction,0.65,0.1,0.0,0.0,129.8057
single-junction,0.7,0.1,0.0,0.0,139.6783
single-junction,0.75,0.1,0.0,0.0,149.6796
single-junction,0.8,0.1,0.0,0.0,159.8087
single-junction,0.85,0.1,0.0,0.0,170.0218
single-junction,0.9,0.1,0.0,0.0,180.3257
single-junction,0.95,0.1,0.0,0.0,190.4947
single-junction,1.0,0.1,0.0,0.0,199.7391
single-junction,0.0,0.15,0.5308,0.0,25.5486
single-junction,0.05,0.15,0.4247,0.0,26.8645
single-junction,0.1,0.15,0.1727,0.0,29.9178
single-junction,0.15,0.15,0.0247,0.0,35.0468
single-junction,0.2,0.15,0.0044,0.0,42.2959
single-junction,0.25,0.15,0.001,0.0,51.2954
single-junction,0.3,0.15,0.0,0.0,61.6177
