formula,pbe_gap,x
CsPbCl3,3.03,0.07
CsPbCl3,2.99,
CsPbBr3,2.29,0.02
CsPbBr3,2.64,
CsPbBr3,2.29,
CsPbBr3,2.36,
CsPbBr3,2.07,0.02
CsPbBr3,2.38,0.01
CsPbBr3,3.82,
CsPbBr3,2.25,
CsPbBr3,2.31,
CsPbI3,1.63,0.03
CsPbI3,1.69,
CsPbBr2I,2.05,
CsPbBr2I,2.08,
CsPbBr2I,2.06,
CsPb(ClxBr1-x)3,2.3,0.05
CsSnCl3,2.98,
CsSnCl3,2.7,
CsSnCl3,2.8,
CsSnBr3,1.75,
CsSnBr3,1.8,
CsSnI3,1.32,
CsSnI3,1.3,
CsSnI3,1.3,
CsSnI3,1.3,
CsSnI3,0.44,
CsPb0.5Sn0.5Br3,1.62,
α-MAPbSnBr3,2.07,
(FASnI3)0.1(MAPbI3)0.9,1.35,
Cs(Pb0.75Sn0.25)(BrCl2),1.84,
(C8H9F3N)2SnBr4,2.6,
(R/S-α-PEA)SnBr3,3.23,
CsxFA1-xPbI2Br,1.56,0.01
CsPbBr3,2.51,0.02
CsPbBr3,2.36,0.01
CsPbBr3,2.25,0.01
CsPbBr2Cl,1.72,
